sample_index,sample_identity,sample_image_name,best_match_index,best_match_identity,best_match_image_name,similarity
2060,000020,076.jpg,429602,0996669,image_292836.jpg,0.37552282214164734
2103,000021,008.jpg,63339,0000159,image_2961.jpg,0.526853621006012
7787,000078,091.jpg,366120,0000593,image_26781.jpg,0.3889835476875305
9007,000091,079.jpg,322510,1968873,image_393639.jpg,0.4306681156158447
2705,000027,040.jpg,132645,2681750,image_440865.jpg,0.3953505754470825
4342,000043,011.jpg,9262,0000212,image_8480.jpg,0.40779921412467957
8645,000087,016.jpg,84286,1026223,image_297995.jpg,0.34003233909606934
6932,000069,085.jpg,92694,0000295,image_11260.jpg,0.47451531887054443
3470,000035,034.jpg,408301,0005520,image_102781.jpg,0.4130159616470337
8835,000089,026.jpg,55841,0001840,image_63069.jpg,0.34176886081695557
3295,000033,022.jpg,334993,1372357,image_337930.jpg,0.4821600914001465
5107,000051,091.jpg,474911,3595501,image_472793.jpg,0.35660380125045776
6537,000065,036.jpg,346607,0167086,image_137078.jpg,0.45121169090270996
6118,000061,021.jpg,436130,0000272,image_10480.jpg,0.4553435146808624
7177,000072,016.jpg,237094,0501837,image_203950.jpg,0.41921189427375793
8479,000085,052.jpg,161118,0000331,image_12963.jpg,0.3899087607860565
7397,000074,099.jpg,78319,0000709,image_33343.jpg,0.45436525344848633
1982,000019,081.jpg,370655,0519440,image_208499.jpg,0.36372047662734985
4061,000041,097.jpg,81057,0000208,image_7787.jpg,0.4806755483150482
3681,000037,032.jpg,333630,1736769,image_375673.jpg,0.40595996379852295
1049,000010,099.jpg,476011,0000678,image_32164.jpg,0.37237465381622314
5539,000055,023.jpg,244311,0922342,image_282886.jpg,0.37103110551834106
344,000003,050.jpg,302758,0000102,image_387.jpg,0.43449586629867554
9638,000097,024.jpg,73990,0000353,image_14509.jpg,0.40824294090270996
9075,000091,005.jpg,412224,1081406,image_304674.jpg,0.4033306837081909
3770,000038,067.jpg,166703,1227747,image_322711.jpg,0.4617314636707306
9641,000097,082.jpg,73909,0000353,image_14537.jpg,0.40929871797561646
3608,000036,017.jpg,313874,3190384,image_462832.jpg,0.4501406252384186
117,000001,072.jpg,34961,0002055,image_65014.jpg,0.355121910572052
1163,000011,086.jpg,281985,0545335,image_214500.jpg,0.37507492303848267
964,000009,001.jpg,55072,0000117,image_1323.jpg,0.4731178879737854
3750,000037,029.jpg,101885,0000204,image_6793.jpg,0.4515835642814636
1104,000011,008.jpg,354521,3978642,image_480246.jpg,0.3765676021575928
514,000005,032.jpg,302202,2141059,image_405783.jpg,0.43230369687080383
5413,000054,018.jpg,214018,0001326,image_47116.jpg,0.3624865412712097
1160,000011,005.jpg,478556,1920143,image_389629.jpg,0.3975053131580353
8423,000084,096.jpg,231157,0000327,image_12685.jpg,0.40150079131126404
3899,000039,035.jpg,325021,0000207,image_7422.jpg,0.5942409038543701
4562,000046,079.jpg,443225,0000225,image_8825.jpg,0.4312724471092224
7953,000080,032.jpg,269681,3576094,image_472143.jpg,0.45034539699554443
3510,000035,050.jpg,176574,0005256,image_92496.jpg,0.44552069902420044
8834,000089,057.jpg,349796,0413168,image_189299.jpg,0.36608946323394775
2167,000021,046.jpg,63188,0000159,image_3153.jpg,0.5278439521789551
9355,000094,061.jpg,290852,3506828,image_471033.jpg,0.42246511578559875
9440,000095,035.jpg,78348,0000709,image_33344.jpg,0.39168447256088257
7744,000078,077.jpg,176574,0005256,image_92496.jpg,0.41179782152175903
